NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-476.899	48.847	397.763	601.684	81.228	401.361
-476.900	48.854	397.764	601.692	81.237	401.351
-476.889	48.860	397.769	601.693	81.230	401.352
-476.903	48.865	397.780	601.683	81.235	401.359
-476.890	48.860	397.771	601.687	81.239	401.335
-476.891	48.866	397.771	601.687	81.239	401.335
-476.894	48.864	397.790	601.688	81.238	401.337
-476.889	48.869	397.754	601.687	81.245	401.335
-476.885	48.891	397.795	601.687	81.245	401.335
-476.881	48.880	397.777	601.691	81.250	401.350
-476.893	48.880	397.772	601.690	81.263	401.350
-476.883	48.893	397.778	601.690	81.263	401.350
-476.872	48.893	397.785	601.691	81.257	401.351
-476.874	48.913	397.785	601.687	81.267	401.375
-476.873	48.892	397.787	601.691	81.270	401.351
-476.874	48.913	397.785	601.691	81.277	401.351
-476.861	48.922	397.774	601.696	81.275	401.367
-476.864	48.919	397.792	601.696	81.281	401.368
-476.855	48.918	397.801	601.697	81.281	401.370
-476.851	48.928	397.781	601.697	81.288	401.369
-476.852	48.935	397.781	601.697	81.294	401.370
-476.842	48.941	397.789	601.697	81.301	401.371
-476.843	48.954	397.788	601.697	81.301	401.371
-476.837	48.951	397.815	601.689	81.312	401.381
-476.836	48.958	397.814	601.697	81.307	401.371
-476.833	48.961	397.795	601.689	81.319	401.382
-476.828	48.964	397.822	601.688	81.332	401.382
-476.824	48.974	397.803	601.698	81.327	401.374
-476.824	48.974	397.803	601.688	81.332	401.382
-476.816	48.980	397.812	601.697	81.340	401.373
-476.820	48.991	397.830	601.688	81.346	401.381
-476.816	49.000	397.810	601.688	81.346	401.381
-476.804	48.995	397.801	601.688	81.346	401.381
-476.807	48.993	397.819	601.696	81.340	401.371
-476.807	49.000	397.818	601.693	81.330	401.398
-476.804	49.002	397.801	601.683	81.334	401.366
-476.808	48.999	397.820	601.688	81.346	401.381
-476.805	49.008	397.802	601.682	81.348	401.365
-476.805	49.008	397.802	601.683	81.334	401.366
-476.806	49.002	397.803	601.683	81.321	401.364
-476.801	48.998	397.784	601.678	81.330	401.349
-476.805	48.995	397.802	601.677	81.323	401.348
-476.804	48.982	397.803	601.677	81.317	401.347
-476.801	48.984	397.784	601.678	81.310	401.348
-476.790	48.984	397.791	601.674	81.305	401.334
-476.780	48.970	397.800	601.670	81.295	401.358
-476.756	48.958	397.797	601.650	81.298	401.335
-476.740	48.950	397.769	601.636	81.292	401.327
-476.698	48.943	397.783	601.604	81.290	401.338
-476.655	48.931	397.796	601.567	81.277	401.333
-476.601	48.920	397.801	601.520	81.282	401.335
-476.511	48.906	397.793	601.468	81.276	401.322
-476.422	48.904	397.800	601.393	81.277	401.312
-476.329	48.913	397.819	601.309	81.269	401.310
-476.194	48.889	397.808	601.215	81.273	401.316
-476.036	48.894	397.792	601.094	81.272	401.309
