NO_OF_FRAMES	2011
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:53:36.434	131097.78224180
DATA_INCLUDED	3D
MARKER_NAMES	a1	a2	a3
TRAJECTORY_TYPES	Measured	Mixed	Measured
a1 X	a1 Y	a1 Z	a2 X	a2 Y	a2 Z	a3 X	a3 Y	a3 Z	
288.632	-160.471	-14.324	315.115	-184.852	-13.932	330.934	-148.507	-13.845
288.632	-160.462	-14.324	315.106	-184.846	-13.947	330.925	-148.492	-13.862
288.649	-160.464	-14.325	315.116	-184.836	-13.933	330.925	-148.491	-13.830
288.632	-160.462	-14.324	315.125	-184.835	-13.918	330.934	-148.483	-13.847
288.650	-160.462	-14.326	315.125	-184.827	-13.919	330.934	-148.490	-13.814
288.641	-160.461	-14.310	315.116	-184.827	-13.901	330.934	-148.491	-13.847
288.641	-160.461	-14.310	315.125	-184.819	-13.919	330.926	-148.482	-13.831
288.641	-160.454	-14.309	315.125	-184.819	-13.919	330.943	-148.482	-13.832
288.658	-160.446	-14.312	315.116	-184.818	-13.903	330.943	-148.482	-13.832
288.650	-160.445	-14.295	315.125	-184.816	-13.888	330.943	-148.474	-13.832
288.650	-160.436	-14.296	315.134	-184.818	-13.904	330.943	-148.473	-13.801
288.659	-160.452	-14.312	315.125	-184.825	-13.887	330.943	-148.472	-13.801
288.650	-160.445	-14.295	315.134	-184.808	-13.873	330.943	-148.473	-13.801
288.659	-160.443	-14.280	315.135	-184.815	-13.873	330.952	-148.482	-13.816
288.659	-160.437	-14.280	315.135	-184.815	-13.873	330.953	-148.487	-13.785
288.667	-160.471	-14.295	315.134	-184.823	-13.873	330.952	-148.480	-13.785
288.659	-160.437	-14.280	315.134	-184.823	-13.873	330.953	-148.487	-13.785
288.659	-160.452	-14.280	315.134	-184.823	-13.873	330.953	-148.495	-13.785
288.659	-160.452	-14.280	315.134	-184.823	-13.873	330.944	-148.488	-13.800
288.650	-160.453	-14.294	315.125	-184.833	-13.887	330.952	-148.497	-13.816
288.650	-160.451	-14.296	315.126	-184.830	-13.856	330.944	-148.495	-13.801
288.659	-160.477	-14.279	315.134	-184.831	-13.872	330.952	-148.489	-13.816
288.650	-160.460	-14.295	315.125	-184.841	-13.886	330.953	-148.504	-13.816
288.650	-160.460	-14.295	315.126	-184.838	-13.855	330.952	-148.497	-13.816
288.659	-160.452	-14.280	315.117	-184.839	-13.870	330.962	-148.511	-13.800
288.650	-160.453	-14.294	315.117	-184.840	-13.870	330.944	-148.496	-13.800
288.650	-160.453	-14.294	315.108	-184.833	-13.886	330.952	-148.497	-13.816
288.659	-160.470	-14.278	315.108	-184.833	-13.886	330.944	-148.504	-13.799
288.650	-160.445	-14.295	315.108	-184.833	-13.886	330.944	-148.496	-13.800
288.650	-160.460	-14.295	315.108	-184.833	-13.886	330.953	-148.504	-13.816
288.641	-160.443	-14.311	315.099	-184.826	-13.901	330.944	-148.505	-13.831
288.650	-160.445	-14.295	315.099	-184.834	-13.900	330.944	-148.505	-13.831
288.641	-160.446	-14.310	315.090	-184.817	-13.884	330.944	-148.497	-13.832
288.650	-160.445	-14.295	315.081	-184.810	-13.900	330.944	-148.489	-13.832
288.641	-160.443	-14.311	315.089	-184.820	-13.916	330.944	-148.497	-13.832
288.632	-160.447	-14.325	315.081	-184.811	-13.900	330.944	-148.505	-13.831
288.640	-160.439	-14.309	315.089	-184.828	-13.915	330.935	-148.504	-13.815
288.632	-160.438	-14.325	315.080	-184.821	-13.931	330.926	-148.505	-13.830
288.641	-160.437	-14.311	315.080	-184.821	-13.931	330.935	-148.514	-13.846
288.632	-160.447	-14.325	315.080	-184.821	-13.931	330.943	-148.506	-13.830
288.641	-160.454	-14.309	315.072	-184.835	-13.914	330.935	-148.506	-13.846
288.632	-160.447	-14.325	315.071	-184.830	-13.945	330.935	-148.514	-13.846
288.632	-160.456	-14.324	315.062	-184.829	-13.929	330.935	-148.514	-13.846
288.632	-160.447	-14.325	315.071	-184.828	-13.914	330.935	-148.522	-13.845
288.632	-160.456	-14.324	315.062	-184.837	-13.928	330.926	-148.521	-13.829
288.632	-160.456	-14.324	315.062	-184.853	-13.928	330.944	-148.537	-13.830
288.632	-160.456	-14.324	315.062	-184.853	-13.928	330.926	-148.523	-13.860
288.631	-160.464	-14.323	315.062	-184.861	-13.927	330.944	-148.536	-13.830
288.632	-160.456	-14.324	315.071	-184.860	-13.912	330.926	-148.545	-13.828
288.641	-160.463	-14.309	315.062	-184.853	-13.928	330.926	-148.537	-13.829
288.623	-160.446	-14.308	315.062	-184.869	-13.927	330.935	-148.529	-13.813
288.632	-160.456	-14.324	315.062	-184.861	-13.927	330.944	-148.545	-13.829
288.633	-160.469	-14.292	315.062	-184.861	-13.927	330.944	-148.537	-13.830
288.641	-160.490	-14.306	315.062	-184.852	-13.928	330.944	-148.537	-13.830
288.623	-160.455	-14.307	315.063	-184.858	-13.896	330.944	-148.529	-13.830
288.641	-160.454	-14.309	315.071	-184.852	-13.912	330.944	-148.536	-13.798
288.632	-160.454	-14.293	315.071	-184.859	-13.912	330.935	-148.529	-13.813
288.642	-160.452	-14.278	315.080	-184.867	-13.896	330.944	-148.536	-13.798
288.632	-160.474	-14.290	315.062	-184.851	-13.896	330.944	-148.536	-13.798
288.649	-160.456	-14.293	315.071	-184.860	-13.911	330.952	-148.545	-13.813
288.640	-160.457	-14.308	315.062	-184.851	-13.896	330.935	-148.528	-13.813
288.649	-160.483	-14.291	315.062	-184.868	-13.894	330.935	-148.537	-13.813
288.640	-160.457	-14.308	315.062	-184.851	-13.896	330.935	-148.537	-13.813
288.650	-160.462	-14.294	315.062	-184.859	-13.895	330.935	-148.537	-13.813
288.632	-160.456	-14.292	315.062	-184.851	-13.896	330.943	-148.537	-13.829
288.640	-160.451	-14.308	315.053	-184.861	-13.910	330.944	-148.536	-13.798
288.640	-160.466	-14.307	315.062	-184.852	-13.894	330.943	-148.545	-13.796
288.632	-160.456	-14.292	315.053	-184.861	-13.910	330.935	-148.545	-13.812
288.640	-160.457	-14.308	315.053	-184.853	-13.910	330.952	-148.545	-13.813
288.632	-160.465	-14.291	315.062	-184.868	-13.894	330.943	-148.530	-13.828
288.632	-160.456	-14.292	315.062	-184.867	-13.894	330.952	-148.545	-13.813
288.632	-160.456	-14.292	315.053	-184.853	-13.910	330.935	-148.537	-13.813
288.632	-160.456	-14.292	315.053	-184.861	-13.910	330.935	-148.537	-13.813
288.641	-160.463	-14.309	315.063	-184.866	-13.895	330.935	-148.537	-13.813
288.640	-160.457	-14.308	315.063	-184.843	-13.896	330.944	-148.536	-13.798
288.632	-160.462	-14.292	315.071	-184.858	-13.880	330.935	-148.528	-13.813
288.632	-160.454	-14.293	315.063	-184.850	-13.897	330.944	-148.536	-13.798
288.641	-160.455	-14.309	315.063	-184.835	-13.897	330.935	-148.536	-13.814
288.632	-160.436	-14.294	315.055	-184.833	-13.882	330.935	-148.528	-13.814
288.632	-160.445	-14.293	315.063	-184.842	-13.897	330.935	-148.528	-13.814
288.632	-160.438	-14.293	315.055	-184.841	-13.881	330.935	-148.519	-13.815
288.641	-160.446	-14.310	315.054	-184.835	-13.913	330.935	-148.520	-13.815
288.641	-160.437	-14.311	315.063	-184.834	-13.898	330.935	-148.519	-13.815
288.641	-160.437	-14.311	315.054	-184.827	-13.913	330.935	-148.519	-13.815
288.641	-160.437	-14.311	315.046	-184.826	-13.897	330.936	-148.527	-13.815
288.632	-160.438	-14.325	315.037	-184.819	-13.913	330.935	-148.520	-13.815
