NO_OF_FRAMES	2126
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:11:39.923	117781.31538340
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-509.591	49.169	397.806	592.641	80.488	401.242
-509.583	49.162	397.817	592.641	80.495	401.243
-509.550	49.170	397.819	592.632	80.494	401.252
-509.518	49.194	397.805	592.626	80.509	401.236
-509.497	49.216	397.803	592.617	80.521	401.244
-509.460	49.213	397.835	592.612	80.516	401.229
-509.413	49.233	397.808	592.602	80.522	401.237
-509.364	49.267	397.827	592.579	80.528	401.240
-509.311	49.284	397.828	592.569	80.533	401.248
-509.259	49.280	397.833	592.556	80.534	401.243
-509.184	49.298	397.830	592.531	80.547	401.242
-509.124	49.304	397.859	592.518	80.540	401.237
-509.057	49.319	397.832	592.494	80.553	401.238
-508.973	49.336	397.838	592.475	80.557	401.255
-508.897	49.328	397.838	592.446	80.559	401.241
-508.812	49.339	397.843	592.423	80.558	401.243
-508.716	49.352	397.839	592.390	80.563	401.253
-508.624	49.346	397.874	592.352	80.563	401.248
-508.512	49.351	397.841	592.330	80.556	401.252
-508.410	49.360	397.865	592.291	80.569	401.244
-508.290	49.375	397.857	592.253	80.569	401.239
-508.170	49.370	397.850	592.215	80.576	401.233
-508.052	49.371	397.844	592.162	80.570	401.221
-507.923	49.372	397.846	592.121	80.567	401.241
-507.775	49.379	397.862	592.070	80.574	401.230
-507.625	49.368	397.863	592.014	80.565	401.242
-507.473	49.350	397.863	591.937	80.565	401.231
-507.303	49.366	397.874	591.859	80.549	401.246
-507.116	49.346	397.860	591.775	80.548	401.245
-506.934	49.336	397.865	591.667	80.539	401.246
-506.742	49.326	397.877	591.567	80.532	401.236
-506.543	49.328	397.850	591.453	80.526	401.218
-506.327	49.307	397.859	591.336	80.510	401.227
-506.101	49.280	397.860	591.214	80.502	401.221
-505.883	49.288	397.849	591.078	80.490	401.246
-505.624	49.270	397.852	590.913	80.486	401.259
-505.387	49.256	397.858	590.750	80.461	401.273
-505.125	49.241	397.844	590.595	80.452	401.276
-504.853	49.225	397.837	590.430	80.446	401.249
-504.569	49.204	397.820	590.229	80.435	401.259
-504.278	49.187	397.829	590.026	80.424	401.266
-503.971	49.147	397.811	589.834	80.407	401.265
-503.657	49.126	397.815	589.628	80.398	401.259
-503.328	49.108	397.793	589.402	80.380	401.267
-502.989	49.062	397.795	589.167	80.361	401.285
-502.634	49.027	397.815	588.950	80.349	401.246
-502.276	48.988	397.818	588.687	80.324	401.251
-501.905	48.964	397.808	588.437	80.305	401.262
-501.513	48.929	397.798	588.168	80.283	401.250
-501.123	48.905	397.805	587.896	80.237	401.262
-500.715	48.874	397.765	587.614	80.207	401.246
-500.286	48.842	397.803	587.341	80.193	401.221
-499.841	48.800	397.813	587.044	80.173	401.234
-499.397	48.799	397.820	586.749	80.153	401.252
-498.938	48.755	397.804	586.442	80.136	401.236
-498.494	48.754	397.813	586.118	80.104	401.239
-498.029	48.747	397.820	585.802	80.073	401.233
-497.568	48.753	397.783	585.464	80.030	401.266
-497.088	48.749	397.827	585.149	80.005	401.261
-496.609	48.740	397.808	584.814	79.999	401.272
-496.121	48.748	397.812	584.475	79.980	401.268
-495.634	48.736	397.820	584.149	79.961	401.271
-495.111	48.735	397.813	583.805	79.947	401.291
-494.602	48.738	397.816	583.469	79.945	401.262
-494.095	48.725	397.841	583.106	79.912	401.261
-493.560	48.725	397.825	582.775	79.922	401.248
-493.039	48.744	397.819	582.416	79.901	401.261
-492.508	48.748	397.822	582.057	79.883	401.205
-491.969	48.729	397.855	581.689	79.861	401.227
-491.424	48.758	397.829	581.325	79.848	401.225
-490.882	48.762	397.842	580.962	79.829	401.225
-490.318	48.761	397.852	580.573	79.828	401.186
-489.747	48.772	397.823	580.199	79.814	401.193
-489.173	48.756	397.843	579.818	79.798	401.212
-488.595	48.764	397.842	579.408	79.784	401.217
-488.001	48.763	397.813	578.995	79.769	401.180
-487.415	48.762	397.824	578.586	79.756	401.225
-486.814	48.772	397.820	578.175	79.736	401.230
-486.214	48.801	397.817	577.729	79.712	401.203
-485.601	48.812	397.805	577.310	79.702	401.220
-484.998	48.864	397.782	576.856	79.679	401.244
-484.375	48.888	397.779	576.428	79.690	401.202
-483.752	48.905	397.776	575.961	79.673	401.220
-483.125	48.945	397.752	575.510	79.672	401.221
-482.485	48.959	397.783	575.028	79.661	401.195
-481.839	48.984	397.778	574.550	79.650	401.222
-481.196	49.007	397.793	574.078	79.671	401.199
-480.547	49.041	397.770	573.559	79.665	401.180
-479.881	49.052	397.783	573.055	79.660	401.207
-479.220	49.088	397.752	572.532	79.656	401.175
-478.555	49.120	397.704	571.994	79.634	401.173
-477.885	49.140	397.747	571.443	79.612	401.167
-477.217	49.166	397.746	570.890	79.622	401.123
-476.526	49.194	397.741	570.330	79.625	401.128
-475.838	49.205	397.757	569.734	79.618	401.102
-475.145	49.249	397.736	569.151	79.601	401.110
-474.435	49.255	397.752	568.558	79.600	401.091
-473.718	49.304	397.743	567.934	79.569	401.092
-472.984	49.360	397.751	567.304	79.550	401.108
-472.229	49.422	397.712	566.666	79.539	401.105
-471.488	49.467	397.749	566.022	79.513	401.117
-470.736	49.534	397.729	565.374	79.513	401.085
-469.991	49.577	397.734	564.713	79.515	401.088
-469.217	49.624	397.717	564.032	79.499	401.068
-468.424	49.684	397.716	563.345	79.487	401.072
-467.625	49.728	397.681	562.644	79.482	401.069
-466.810	49.769	397.681	561.927	79.464	401.060
-465.990	49.792	397.665	561.190	79.456	401.027
-465.155	49.824	397.684	560.451	79.437	401.023
-464.285	49.853	397.646	559.696	79.446	401.013
-463.428	49.871	397.680	558.942	79.420	401.005
-462.537	49.919	397.656	558.152	79.431	400.967
