NO_OF_FRAMES	1717
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:09:02.604	117623.99684550
DATA_INCLUDED	3D
MARKER_NAMES	a
TRAJECTORY_TYPES	Measured
a X	a Y	a Z	
-52.052	62.367	397.900
-49.724	62.467	397.915
-47.419	62.584	397.903
-45.099	62.715	397.943
-42.783	62.757	397.928
-40.446	62.852	397.926
-38.147	62.952	397.925
-35.832	63.102	397.974
-33.515	63.161	397.981
-31.191	63.234	397.979
-28.877	63.342	397.971
-26.577	63.504	398.020
-24.260	63.576	398.023
-21.921	63.657	398.014
-19.586	63.731	398.001
-17.285	63.900	398.046
-14.984	63.991	398.048
-12.643	64.069	398.062
-10.335	64.142	397.987
-8.015	64.273	398.052
-5.743	64.383	398.056
-3.395	64.477	398.101
-1.092	64.534	398.037
1.245	64.635	398.072
3.502	64.754	398.099
5.821	64.842	398.122
8.139	64.907	398.101
10.428	64.945	398.066
12.724	65.058	398.096
14.970	65.145	398.152
17.281	65.198	398.166
19.548	65.226	398.143
21.841	65.290	398.120
24.108	65.366	398.157
26.356	65.420	398.189
28.616	65.457	398.200
30.861	65.511	398.180
33.137	65.529	398.175
35.415	65.554	398.175
37.632	65.617	398.174
39.851	65.679	398.178
42.130	65.696	398.242
44.373	65.721	398.217
46.590	65.747	398.187
48.867	65.773	398.217
51.107	65.805	398.245
53.302	65.852	398.245
55.538	65.879	398.257
57.809	65.904	398.297
60.029	65.913	398.273
62.248	65.943	398.253
64.500	65.987	398.284
66.750	65.984	398.310
68.961	66.037	398.318
71.188	66.072	398.305
73.452	66.088	398.344
75.700	66.101	398.341
77.911	66.151	398.368
80.141	66.162	398.376
82.395	66.175	398.374
84.632	66.225	398.403
86.860	66.271	398.401
89.101	66.301	398.416
91.322	66.326	398.412
93.572	66.376	398.435
95.807	66.401	398.439
98.039	66.452	398.439
100.263	66.481	398.455
102.498	66.557	398.475
104.724	66.621	398.487
106.955	66.618	398.482
109.175	66.666	398.444
111.412	66.746	398.484
113.632	66.824	398.530
115.837	66.870	398.557
118.040	66.904	398.515
120.282	66.961	398.513
122.487	67.050	398.579
124.699	67.139	398.637
126.895	67.189	398.628
129.104	67.254	398.598
131.313	67.326	398.572
133.517	67.437	398.614
135.729	67.515	398.649
137.954	67.578	398.637
140.192	67.669	398.630
142.401	67.764	398.630
144.582	67.864	398.685
146.784	67.949	398.707
148.976	68.013	398.672
151.191	68.100	398.678
153.379	68.220	398.741
155.604	68.311	398.770
157.828	68.370	398.779
160.044	68.439	398.756
162.230	68.576	398.789
164.430	68.684	398.825
166.654	68.750	398.830
168.895	68.815	398.841
171.105	68.916	398.832
173.288	69.062	398.888
175.508	69.155	398.887
177.719	69.231	398.903
179.912	69.321	398.913
182.086	69.425	398.967
184.291	69.513	398.937
186.536	69.594	398.925
188.749	69.696	398.943
190.926	69.799	399.002
193.116	69.874	399.017
195.303	69.948	399.035
197.506	70.035	399.059
199.697	70.141	399.089
201.912	70.232	399.088
204.100	70.308	399.078
206.271	70.360	399.095
208.418	70.434	399.153
210.575	70.529	399.206
212.756	70.603	399.203
214.921	70.639	399.179
217.084	70.701	399.159
219.241	70.772	399.181
221.378	70.831	399.231
223.510	70.894	399.248
225.633	70.926	399.233
227.779	70.971	399.235
229.918	71.027	399.255
232.048	71.073	399.291
234.173	71.112	399.270
236.309	71.148	399.278
238.445	71.187	399.315
240.574	71.223	399.320
242.693	71.263	399.341
244.798	71.302	399.365
246.919	71.327	399.396
249.037	71.382	399.406
251.156	71.408	399.420
253.277	71.444	399.416
255.421	71.464	399.430
257.529	71.498	399.494
259.621	71.529	399.511
261.709	71.568	399.522
263.835	71.588	399.528
265.986	71.639	399.505
268.110	71.668	399.495
270.225	71.671	399.525
272.316	71.698	399.620
274.441	71.749	399.650
276.571	71.803	399.647
278.705	71.812	399.625
280.812	71.845	399.616
282.907	71.843	399.672
285.021	71.918	399.711
287.145	71.963	399.720
289.290	72.002	399.722
291.401	72.017	399.748
293.503	72.040	399.765
295.616	72.097	399.778
297.713	72.153	399.794
299.849	72.200	399.832
301.955	72.235	399.854
304.080	72.259	399.861
306.189	72.285	399.845
308.276	72.369	399.895
310.393	72.416	399.929
312.521	72.472	399.941
314.628	72.495	399.943
316.725	72.532	399.935
318.825	72.609	399.985
320.965	72.694	399.984
323.051	72.738	400.025
325.143	72.769	400.059
327.274	72.808	400.031
329.378	72.907	400.068
331.456	72.990	400.115
333.547	73.042	400.142
335.682	73.090	400.096
337.801	73.154	400.077
339.852	73.243	400.177
341.951	73.327	400.213
344.100	73.389	400.163
346.191	73.442	400.169
348.228	73.516	400.269
350.369	73.611	400.271
352.507	73.702	400.251
354.558	73.750	400.290
356.660	73.823	400.295
358.774	73.954	400.325
360.869	74.024	400.353
362.951	74.065	400.392
365.055	74.151	400.393
367.155	74.281	400.424
369.253	74.363	400.457
371.351	74.407	400.468
373.453	74.480	400.462
375.544	74.585	400.524
377.649	74.668	400.539
379.744	74.746	400.544
381.871	74.837	400.561
383.935	74.927	400.621
386.038	75.017	400.630
388.168	75.077	400.613
390.232	75.130	400.696
392.351	75.231	400.673
394.447	75.357	400.663
396.517	75.409	400.748
398.653	75.477	400.719
400.736	75.559	400.730
402.783	75.644	400.814
404.941	75.741	400.766
406.998	75.795	400.832
409.097	75.869	400.843
411.212	75.963	400.863
413.254	76.024	400.915
415.370	76.099	400.867
417.460	76.175	400.917
419.520	76.226	400.992
