NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-539.994	50.441	397.026
-540.051	50.446	397.061
-540.098	50.442	397.022
-540.160	50.419	397.017
-540.221	50.423	397.007
-540.274	50.406	397.008
-540.329	50.406	397.027
-540.401	50.397	397.013
-540.461	50.395	397.003
-540.528	50.393	397.033
-540.602	50.381	397.037
-540.676	50.390	397.039
-540.739	50.384	397.049
-540.816	50.385	397.056
-540.877	50.383	397.047
-540.949	50.373	397.033
-541.013	50.408	397.040
-541.106	50.418	397.026
-541.178	50.418	397.093
-541.238	50.410	397.068
-541.312	50.432	397.069
-541.397	50.434	397.066
-541.478	50.466	397.039
-541.543	50.474	397.050
-541.627	50.489	397.045
-541.702	50.497	397.049
-541.771	50.511	397.012
-541.861	50.528	397.046
-541.945	50.543	397.040
-542.020	50.551	397.046
-542.096	50.579	397.047
-542.171	50.581	397.052
-542.245	50.609	397.052
-542.311	50.617	397.066
-542.383	50.641	397.047
-542.440	50.662	397.066
-542.495	50.656	397.087
-542.560	50.663	397.098
-542.613	50.687	397.096
-542.653	50.695	397.067
-542.692	50.692	397.121
-542.725	50.717	397.117
-542.756	50.729	397.112
-542.779	50.740	397.116
-542.789	50.761	397.108
-542.790	50.760	397.110
-542.792	50.773	397.111
-542.773	50.779	397.126
-542.764	50.779	397.134
-542.745	50.791	397.149
-542.700	50.805	397.121
-542.681	50.820	397.119
-542.641	50.827	397.131
-542.586	50.826	397.112
-542.526	50.842	397.120
-542.461	50.848	397.108
-542.393	50.854	397.145
-542.317	50.855	397.122
-542.240	50.870	397.097
-542.148	50.881	397.109
-542.064	50.895	397.096
-541.949	50.901	397.104
-541.846	50.898	397.123
-541.740	50.908	397.105
-541.613	50.903	397.102
-541.499	50.909	397.110
-541.372	50.913	397.091
-541.253	50.906	397.146
-541.112	50.906	397.113
-540.965	50.909	397.107
-540.811	50.909	397.129
